"","docname","Segment","WPS","WC","Sixltr","Dic","x1_function","x2_pronoun","x3_ppron","x4_i","x5_we","x6_you","x7_shehe","x8_they","x9_ipron","x10_article","x11_prep","x12_auxverb","x13_adverb","x14_conj","x15_negate","x20_verb","x21_adj","x22_compare","x23_interrog","x24_number","x25_quant","x30_affect","x31_posemo","x32_negemo","x33_anx","x34_anger","x35_sad","x40_social","x41_family","x42_friend","x43_female","x44_male","x50_cogproc","x51_insight","x52_cause","x53_discrep","x54_tentat","x55_certain","x56_differ","x60_percept","x61_see","x62_hear","x63_feel","x70_bio","x71_body","x72_health","x73_sexual","x74_ingest","x80_drives","x81_affiliation","x82_achieve","x83_power","x84_reward","x85_risk","x90_focuspast","x91_focuspresent","x92_focusfuture","x100_relativ","x101_motion","x102_space","x103_time","x110_work","x111_leisure","x112_home","x113_money","x114_relig","x115_death","x120_informal","x121_swear","x122_netspeak","x123_assent","x124_nonflu","x125_filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"178","R_2rHH1240DrMPoT3",178,10.8,108,12.96,275,47.22,13.89,12.04,0.93,0,0,11.11,0,1.85,6.48,11.11,6.48,5.56,5.56,0,20.37,2.78,0.93,0,0,0.93,2.78,2.78,0,0,0,0,15.74,0.93,0.93,11.11,0,7.41,2.78,0,1.85,0,2.78,0,0.93,0.93,0,0,0,0,0,0,0,6.48,3.7,0,0,2.78,0,10.19,8.33,0,17.59,6.48,4.63,8.33,0,4.63,1.85,1.85,0,0,0,0,0,0,0,0,11.11,8.33,2.78,0,0,0,0,0,0,0,0,11.11
"179","R_12uy4bLeF8JcCrf",179,18,108,18.52,234.26,45.37,12.04,9.26,1.85,3.7,0,3.7,0,2.78,7.41,12.96,6.48,2.78,4.63,0.93,12.04,3.7,0.93,2.78,0,0.93,3.7,2.78,0.93,0,0,0,12.96,0.93,0,4.63,0,6.48,0.93,0,1.85,0,1.85,1.85,1.85,0,0.93,0.93,0.93,0,0.93,0,0,10.19,4.63,1.85,0,0.93,2.78,5.56,4.63,0,11.11,0,6.48,4.63,1.85,0,0,0,0,0.93,0,0,0,0,0,0,15.74,2.78,7.41,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0,14.81
"180","R_2ZUfENuWDresXSK",180,20.4,102,21.57,249.02,49.02,14.71,12.75,9.8,0,0,0,2.94,1.96,6.86,14.71,3.92,4.9,4.9,0,10.78,1.96,0.98,0,0.98,0,3.92,3.92,0,0,0,0,10.78,2.94,1.96,0,0,1.96,0,0,0,0,1.96,0,2.94,0.98,0,1.96,1.96,0,0.98,0,0.98,7.84,4.9,0,0,1.96,0.98,4.9,5.88,0,19.61,4.9,5.88,9.8,1.96,0.98,0.98,0,0,0,0,0,0,0,0,0,8.82,4.9,3.92,0,0,0,0,0,0,0,0,8.82
"181","R_1jZeTrM22KgMwN9",181,17,102,18.63,296.08,52.94,11.76,5.88,2.94,1.96,0,0.98,0,5.88,3.92,13.73,12.75,9.8,4.9,0,19.61,7.84,1.96,0.98,0,3.92,6.86,4.9,1.96,0,0,0.98,3.92,0,0,0,0.98,20.59,3.92,3.92,5.88,5.88,2.94,1.96,1.96,0,0,1.96,0,0,0,0,0,6.86,1.96,0.98,1.96,0.98,0.98,0,10.78,2.94,18.63,4.9,8.82,4.9,0.98,0,0,0,0,0,0,0,0,0,0,0,9.8,5.88,1.96,0,0,0,0,0,1.96,1.96,0,9.8
"182","R_6idj8RWDsZGEM25",182,18.1666666666667,109,9.17,320.18,58.72,16.51,14.68,4.59,4.59,0,5.5,0,1.83,4.59,7.34,13.76,7.34,7.34,2.75,18.35,3.67,2.75,0.92,0,1.83,1.83,0.92,0.92,0,0.92,0,15.6,4.59,0,8.26,0.92,19.27,0.92,4.59,7.34,1.83,0,5.5,0.92,0,0,0,0.92,0,0,0,0.92,7.34,7.34,0,0,0,0,0,10.09,0,14.68,1.83,5.5,7.34,0,2.75,3.67,0.92,1.83,0,1.83,0,0,0,0.92,0.92,8.26,5.5,2.75,0,0,0,0,0,0,0,0,8.26
"183","R_21vwzDGiIZyJne9",183,19,114,12.28,302.63,56.14,16.67,13.16,7.89,0,0,4.39,0.88,3.51,4.39,14.04,13.16,3.51,7.89,0.88,16.67,7.02,5.26,0,0,4.39,5.26,4.39,0.88,0,0,0.88,11.4,1.75,0.88,0,5.26,9.65,0,2.63,0,0.88,2.63,3.51,1.75,0.88,0,0.88,3.51,0.88,0,0,1.75,7.02,4.39,0.88,2.63,0.88,0,0,12.28,2.63,10.53,1.75,4.39,4.39,2.63,3.51,0.88,2.63,0,0,0.88,0,0,0,0.88,0,8.77,5.26,3.51,0,0,0,0,0,0,0,0,8.77
"184","R_2s1O4V7VAHVjGcf",184,19.5,117,6.84,298.29,52.99,11.11,9.4,5.98,3.42,0,0,0,1.71,6.84,21.37,5.13,4.27,7.69,0,15.38,4.27,2.56,0,0,2.56,5.13,5.13,0,0,0,0,7.69,0,0.85,0,0,3.42,0.85,0,1.71,0.85,0,0,0.85,0,0,0.85,0.85,0,0,0,0.85,14.53,7.69,5.13,0.85,3.42,0,0.85,11.97,6.84,24.79,8.55,9.4,6.84,0.85,7.69,0,1.71,0,0,1.71,0,0,0,1.71,0,6.84,5.13,1.71,0,0,0,0,0,0,0,0,6.84
"185","R_1P73YMDc65yOWpM",185,16.1428571428571,113,13.27,249.56,44.25,11.5,8.85,5.31,0,0,3.54,0,2.65,7.08,13.27,2.65,4.42,7.96,1.77,13.27,3.54,1.77,1.77,0,1.77,1.77,1.77,0,0,0,0,6.19,0,0,0,4.42,10.62,3.54,0.88,0,2.65,1.77,1.77,1.77,0.88,0,0.88,1.77,1.77,0,0,0,7.96,1.77,2.65,0,3.54,0,2.65,11.5,1.77,15.04,2.65,7.08,7.08,2.65,0.88,0.88,2.65,0,0.88,0,0,0,0,0,0,13.27,6.19,5.31,0,0,0,0,0,1.77,1.77,0,13.27
"186","R_yTJfxgEx89Zb7iN",186,19.1666666666667,115,12.17,280.87,49.57,19.13,14.78,8.7,0,0,6.09,0,3.48,6.09,13.04,6.96,3.48,5.22,0.87,21.74,2.61,0,0.87,0.87,0,2.61,1.74,0,0,0,0,8.7,0.87,0,6.96,0,13.91,6.09,0.87,1.74,3.48,0.87,2.61,0,0,0,0,0.87,0,0.87,0,0,2.61,0,0,1.74,0.87,0,6.96,11.3,0,20,4.35,6.96,8.7,0,0,0.87,0.87,0,0,0,0,0,0,0,0,13.91,4.35,3.48,0.87,0,0,0.87,0.87,3.48,3.48,0,13.04
"187","R_1pQJYXEu2090ikk",187,29,116,8.62,256.03,52.59,13.79,5.17,5.17,0,0,0,0,8.62,5.17,12.93,11.21,5.17,4.31,0.86,13.79,7.76,4.31,0.86,1.72,2.59,3.45,3.45,0,0,0,0,1.72,0,0.86,0,0,5.17,0,0,0,1.72,0,3.45,0.86,0,0,0.86,1.72,0,1.72,0,0,6.03,0.86,1.72,3.45,1.72,0,11.21,1.72,0.86,18.97,1.72,10.34,6.9,0,2.59,4.31,2.59,0,0,0,0,0,0,0,0,6.03,4.31,1.72,0,0,0,0,0,0,0,0,6.03
