"","speaker","docname_1","Segment_1","WPS_1","WC_1","Sixltr_1","Dic_1","x1_function_1","x2_pronoun_1","x3_ppron_1","x4_i_1","x5_we_1","x6_you_1","x7_shehe_1","x8_they_1","x9_ipron_1","x10_article_1","x11_prep_1","x12_auxverb_1","x13_adverb_1","x14_conj_1","x15_negate_1","x20_verb_1","x21_adj_1","x22_compare_1","x23_interrog_1","x24_number_1","x25_quant_1","x30_affect_1","x31_posemo_1","x32_negemo_1","x33_anx_1","x34_anger_1","x35_sad_1","x40_social_1","x41_family_1","x42_friend_1","x43_female_1","x44_male_1","x50_cogproc_1","x51_insight_1","x52_cause_1","x53_discrep_1","x54_tentat_1","x55_certain_1","x56_differ_1","x60_percept_1","x61_see_1","x62_hear_1","x63_feel_1","x70_bio_1","x71_body_1","x72_health_1","x73_sexual_1","x74_ingest_1","x80_drives_1","x81_affiliation_1","x82_achieve_1","x83_power_1","x84_reward_1","x85_risk_1","x90_focuspast_1","x91_focuspresent_1","x92_focusfuture_1","x100_relativ_1","x101_motion_1","x102_space_1","x103_time_1","x110_work_1","x111_leisure_1","x112_home_1","x113_money_1","x114_relig_1","x115_death_1","x120_informal_1","x121_swear_1","x122_netspeak_1","x123_assent_1","x124_nonflu_1","x125_filler_1","AllPunc_1","Period_1","Comma_1","Colon_1","SemiC_1","QMark_1","Exclam_1","Dash_1","Quote_1","Apostro_1","Parenth_1","OtherP_1"
"1","",52.7094461580248,52.7094461580248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Speaker A",58.6118090135781,58.6118090135781,2.47093083438442,4.74218427397246,12.6967156186157,71.800471635936,17.5962023463299,12.380425417024,11.7440940835875,6.569131315004,0.74298625251654,8.31885977295434,4.35878923600306,3.5528198741903,7.85360782342458,6.14158862808503,7.61696305844831,12.8615769657323,11.390180477003,5.71940174591441,6.94846870685404,14.8288972177571,7.86010917441776,4.41986464798341,3.12904748275744,6.48039525009105,5.46659151800053,8.95788396678243,5.45046205297396,7.55249894999068,0,1.43464090036044,2.05166760649294,14.2782844641876,2.67261241912424,1.67038276195265,4.62071646493816,4.34659279908286,14.7498673018464,6.47002585102927,2.76370427120944,3.72314480516938,8.49217497724557,4.95351770586698,6.71484528788711,6.462709455522,6.27765587971783,1.67038276195265,0.835191380976326,1.33630620956212,1.33630620956212,0,0,0,6.37435572501966,3.95647092846544,3.26261967487127,4.38165625744895,2.03640317462196,2.76091976016651,5.40026050357698,12.2476073027697,0.534522483824849,15.7268694870796,3.47117311937554,9.07368963027133,13.2314639961162,3.45299393901251,3.56456062755741,0,0,3.57548470967097,1.21470234449197,8.38818243396354,0,0,7.82316203882511,3.34076552390531,0,12.2580378082747,11.818427010943,4.9569491952889,0,0,7.47542785988278,0,0,7.32922603592728,7.32922603592728,0,12.2580378082747
"3","Speaker B",57.7938904692063,57.7938904692063,8.1602576601196,28.7842050231898,6.89671897621006,51.4884365914453,11.4256951834735,7.71058595690262,6.10644607982543,4.70472617720014,1.73102276154735,4.29799478873347,3.60400863666814,1.66351922709221,5.17339776057914,4.25686708894409,6.89024193875452,5.63667205760805,4.79528997538601,4.5308183041534,5.14339771935853,7.13555425819092,5.60741115357331,4.29306759243712,4.22953469769227,4.3138910994496,2.59642366826349,5.06479835065331,4.27892425893579,2.85601607813837,0.325420202903433,0.7775860791953,2.70122169604579,6.96518765831427,1.95456470732883,0.970744074146387,2.58837469466418,4.07951240596541,7.10644435618171,2.6801826769585,2.76336609054235,3.23548733708814,3.34947962262784,2.4190141283659,3.28883645357331,3.64796292913433,2.8011514157095,2.0737446388059,1.32508417079878,2.39305205828792,1.25331996040994,1.13870045118262,0,1.30926641738266,4.58734953601929,2.60766976284188,2.37495460955724,2.87650325157638,1.88806465384327,0.410979536113999,4.36760014075201,6.928740019165,1.58148000810347,7.61514520949117,2.95978775963574,5.60454114126131,5.62248371529882,2.8341774413281,3.05725062827545,2.28190650847769,1.49574231927919,0.616712095498465,0.735820386909091,3.16169999265585,0.256197412999938,0,3.10012894041658,0.629454667590674,0.250530073753968,8.07953633821737,7.15404367751174,4.94889859599415,0,0,4.45244239283008,0,0,3.96196217252201,3.96196217252201,0,8.07953633821737
