"","docname","Segment","WPS","WC","Sixltr","Dic","x1_function","x2_pronoun","x3_ppron","x4_i","x5_we","x6_you","x7_shehe","x8_they","x9_ipron","x10_article","x11_prep","x12_auxverb","x13_adverb","x14_conj","x15_negate","x20_verb","x21_adj","x22_compare","x23_interrog","x24_number","x25_quant","x30_affect","x31_posemo","x32_negemo","x33_anx","x34_anger","x35_sad","x40_social","x41_family","x42_friend","x43_female","x44_male","x50_cogproc","x51_insight","x52_cause","x53_discrep","x54_tentat","x55_certain","x56_differ","x60_percept","x61_see","x62_hear","x63_feel","x70_bio","x71_body","x72_health","x73_sexual","x74_ingest","x80_drives","x81_affiliation","x82_achieve","x83_power","x84_reward","x85_risk","x90_focuspast","x91_focuspresent","x92_focusfuture","x100_relativ","x101_motion","x102_space","x103_time","x110_work","x111_leisure","x112_home","x113_money","x114_relig","x115_death","x120_informal","x121_swear","x122_netspeak","x123_assent","x124_nonflu","x125_filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"67","67",67,17.5,70,17.14,252.86,44.29,12.86,5.71,2.86,1.43,0,0,1.43,7.14,10,14.29,2.86,5.71,2.86,0,14.29,5.71,4.29,1.43,4.29,0,8.57,7.14,1.43,0,0,1.43,8.57,0,0,0,0,4.29,0,0,0,0,1.43,2.86,5.71,0,5.71,0,0,0,0,0,0,7.14,1.43,1.43,5.71,0,0,1.43,10,0,11.43,0,10,1.43,0,8.57,0,0,0,0,2.86,0,0,1.43,1.43,0,20,5.71,11.43,0,0,0,0,0,2.86,2.86,0,20
"68","68",68,15.6666666666667,47,14.89,257.45,38.3,8.51,4.26,4.26,0,0,0,0,4.26,10.64,6.38,10.64,0,4.26,2.13,17.02,14.89,8.51,2.13,8.51,0,2.13,2.13,0,0,0,0,4.26,0,0,0,0,10.64,4.26,0,2.13,2.13,0,4.26,2.13,0,2.13,0,4.26,4.26,0,0,0,6.38,2.13,2.13,4.26,0,0,2.13,10.64,0,17.02,0,14.89,2.13,2.13,2.13,2.13,0,0,0,0,0,0,0,0,0,19.15,6.38,8.51,0,0,0,0,0,4.26,4.26,0,19.15
"69","69",69,15,60,10,211.67,41.67,6.67,3.33,0,0,3.33,0,0,3.33,10,10,11.67,1.67,5,1.67,16.67,6.67,5,3.33,13.33,0,0,0,0,0,0,0,5,0,0,0,1.67,6.67,3.33,0,0,1.67,0,3.33,1.67,1.67,0,0,3.33,3.33,0,0,0,0,0,0,0,0,0,0,13.33,0,11.67,0,10,1.67,0,0,0,0,0,0,0,0,0,0,0,0,16.67,5,6.67,0,0,1.67,0,0,3.33,3.33,0,16.67
"70","70",70,10.3333333333333,31,12.9,322.58,48.39,25.81,12.9,3.23,0,0,9.68,0,12.9,0,6.45,12.9,3.23,6.45,3.23,22.58,0,0,0,6.45,9.68,0,0,0,0,0,0,12.9,3.23,0,0,9.68,16.13,0,3.23,0,3.23,0,9.68,0,0,0,0,3.23,0,3.23,0,0,6.45,3.23,0,3.23,0,0,9.68,12.9,0,16.13,0,12.9,3.23,0,3.23,3.23,0,0,0,0,0,0,0,0,0,16.13,9.68,0,0,0,0,0,0,6.45,6.45,0,16.13
"71","71",71,23.6666666666667,71,8.45,249.3,45.07,9.86,4.23,1.41,0,0,2.82,0,5.63,4.23,12.68,11.27,1.41,9.86,4.23,15.49,5.63,11.27,1.41,11.27,1.41,1.41,1.41,0,0,0,0,5.63,0,0,1.41,2.82,12.68,1.41,0,1.41,5.63,0,8.45,7.04,4.23,1.41,1.41,4.23,4.23,0,0,0,1.41,0,0,0,1.41,0,1.41,12.68,0,4.23,0,2.82,1.41,0,0,0,0,0,0,0,0,0,0,0,0,23.94,4.23,12.68,0,0,0,0,0,7.04,7.04,0,23.94
"72","72",72,13.6666666666667,41,9.76,258.54,34.15,12.2,12.2,0,0,0,12.2,0,0,2.44,14.63,4.88,2.44,2.44,0,9.76,9.76,7.32,0,0,2.44,2.44,2.44,0,0,0,0,17.07,0,0,0,12.2,7.32,2.44,2.44,0,0,2.44,0,9.76,4.88,2.44,2.44,2.44,2.44,0,0,0,7.32,0,4.88,4.88,0,0,0,12.2,0,12.2,0,12.2,0,4.88,0,0,0,0,0,0,0,0,0,0,0,19.51,7.32,9.76,0,0,0,0,0,2.44,2.44,0,19.51
"73","73",73,12.6666666666667,38,13.16,207.89,34.21,7.89,7.89,2.63,2.63,0,2.63,0,0,2.63,7.89,7.89,0,7.89,2.63,13.16,2.63,0,0,13.16,0,0,0,0,0,0,0,10.53,0,0,0,2.63,5.26,0,0,2.63,2.63,0,5.26,5.26,0,5.26,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,13.16,0,15.79,0,0,15.79,0,2.63,0,0,0,0,0,0,0,0,0,0,18.42,7.89,5.26,0,0,0,0,0,5.26,5.26,0,18.42
"74","74",74,9.66666666666667,29,0,210.34,37.93,6.9,3.45,0,0,3.45,0,0,3.45,6.9,10.34,6.9,3.45,10.34,0,17.24,3.45,0,3.45,24.14,3.45,3.45,3.45,0,0,0,0,3.45,0,0,0,0,10.34,3.45,3.45,3.45,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,3.45,0,3.45,6.9,0,6.9,0,0,6.9,0,0,0,3.45,0,0,0,0,0,0,0,0,17.24,6.9,3.45,0,0,3.45,0,0,3.45,3.45,0,17.24
"75","75",75,2,2,50,200,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,50
"76","76",76,25.25,101,9.9,324.75,54.46,18.81,10.89,3.96,0.99,0.99,3.96,0.99,7.92,7.92,13.86,7.92,2.97,5.94,0.99,16.83,7.92,5.94,0.99,1.98,3.96,3.96,1.98,1.98,0,0.99,0,15.84,2.97,0,0.99,5.94,16.83,3.96,2.97,1.98,2.97,1.98,3.96,2.97,0,1.98,0,0,0,0,0,0,10.89,3.96,1.98,3.96,0.99,0.99,5.94,8.91,0.99,11.88,3.96,5.94,1.98,2.97,1.98,0.99,1.98,0,0,0,0,0,0,0,0,7.92,2.97,1.98,0,0,0,0,0,2.97,2.97,0,7.92
