"","speaker","docname_1","Segment_1","WPS_1","WC_1","Sixltr_1","Dic_1","x1_function_1","x2_pronoun_1","x3_ppron_1","x4_i_1","x5_we_1","x6_you_1","x7_shehe_1","x8_they_1","x9_ipron_1","x10_article_1","x11_prep_1","x12_auxverb_1","x13_adverb_1","x14_conj_1","x15_negate_1","x20_verb_1","x21_adj_1","x22_compare_1","x23_interrog_1","x24_number_1","x25_quant_1","x30_affect_1","x31_posemo_1","x32_negemo_1","x33_anx_1","x34_anger_1","x35_sad_1","x40_social_1","x41_family_1","x42_friend_1","x43_female_1","x44_male_1","x50_cogproc_1","x51_insight_1","x52_cause_1","x53_discrep_1","x54_tentat_1","x55_certain_1","x56_differ_1","x60_percept_1","x61_see_1","x62_hear_1","x63_feel_1","x70_bio_1","x71_body_1","x72_health_1","x73_sexual_1","x74_ingest_1","x80_drives_1","x81_affiliation_1","x82_achieve_1","x83_power_1","x84_reward_1","x85_risk_1","x90_focuspast_1","x91_focuspresent_1","x92_focusfuture_1","x100_relativ_1","x101_motion_1","x102_space_1","x103_time_1","x110_work_1","x111_leisure_1","x112_home_1","x113_money_1","x114_relig_1","x115_death_1","x120_informal_1","x121_swear_1","x122_netspeak_1","x123_assent_1","x124_nonflu_1","x125_filler_1","AllPunc_1","Period_1","Comma_1","Colon_1","SemiC_1","QMark_1","Exclam_1","Dash_1","Quote_1","Apostro_1","Parenth_1","OtherP_1"
"1","",292.293973024876,292.293973024876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Speaker A",257.828579684748,257.828579684748,7.14002046537146,25.6206133154612,10.3831934682521,68.9361005585122,18.257396492544,12.2928086044117,7.95888286219266,5.45921444919147,1.84037945432439,6.37035381499977,4.05556254238042,0.959932240560025,9.99671633538107,4.29315314640612,8.01608143130776,9.34911046838309,6.26149222560615,4.94082770998208,4.10381502833943,10.6147186262932,7.6203834104406,4.02874259823311,6.21209206178828,3.70525421033506,3.30908458763985,9.08899652402512,5.93840296589447,6.60897179841811,0.924201666016168,0.357108794822738,4.92308529437507,9.04177455487236,1.82285262902763,1.20764271005419,1.74569938210531,4.86226798849315,9.94051357306176,5.35908929088922,1.55704238364149,5.36891886828987,4.34007638210317,2.39968518896196,4.94700586181555,3.664963776521,2.38581522582333,1.71241864210066,0.934452602746023,5.03925921638982,1.50476466869817,4.76522485507099,0,0.610407429783118,5.84485016891561,4.22895119361383,3.23866695287634,3.58663059959301,2.45869110806431,0.512850217446862,5.70195128504578,8.98310119264007,2.03370971318347,10.272045094884,2.88198065850231,8.5281420705702,5.26587754905274,4.55409582656357,3.35878157341267,1.53353094359696,2.32674919928001,0.301794642192535,0.423371662210756,11.7296453257721,0,0,11.6895490545666,0.919409132660665,0,12.6393037557475,13.7415699389353,5.5461606241069,0.0855467577562124,0,8.09446242747299,0,0,6.33849778904975,6.33849778904975,0,12.6393037557475
"3","Speaker B",261.606758751039,261.606758751039,10.0760489753667,19.5469189343836,8.51783367641726,78.7708814840219,20.3361573284894,10.8760008972751,9.01889267448197,5.40724911261276,1.50138605228267,6.59380234228655,3.85097318071099,3.81883082880987,7.07169782225927,4.64952040798076,9.37746983775674,8.06695034930888,8.15078631258603,5.48351297070468,8.3699975513959,10.8428432410268,3.30052090163885,3.34453362031646,4.79894620540441,4.19115221285938,5.37462270251286,6.89290898501952,6.53309445849393,2.20765107734931,0.384713856350752,1.71324950382182,0,10.2269738386864,1.67042926374965,0,0,4.10425052254162,11.288055815274,6.13315180320156,2.60907513058283,2.86798271578297,4.93702143622754,4.93492253920299,5.70365147175953,3.19718723334164,2.61001824609443,1.289570447816,1.32836079644896,3.675455446843,1.96591933402525,3.17620449921322,0,0,5.99434833106456,2.3855098178244,2.68841387514639,4.65207878339246,2.65383978659838,1.54749933838983,5.24555970432568,9.08596635888521,2.86582522781655,10.6087442100345,3.66556718419648,8.88850345694349,4.74981168982693,2.87095057243577,0.886929477002394,0.113051856880864,0,0,0,11.6517384934173,0,0,11.5760316275415,1.74082161746656,0,13.5757130848195,13.1219182651247,4.81088799288434,0,0,5.0781273459378,0,0,6.16670228090157,6.16670228090157,0,13.5757130848195
"4","Speaker C",250.319990657093,250.319990657093,5.62987817209546,21.7479997717295,8.1447280922905,86.7057208032509,22.5115645010422,13.4966170238982,9.32454455496557,7.16045157546225,0.691199458286067,2.8017691273195,4.8175956255708,1.29210434640944,9.57879115782217,4.22374478529338,9.12203829305648,7.83660006626164,5.33491066266869,6.62909442167604,10.1866511565039,11.3033778224754,4.57443777034265,3.69401873132119,4.45908191055476,2.0832369185294,4.1121544345674,11.2300114901494,11.2066859500506,2.0263008327825,0.566523380651137,1.6704141197473,0.499474913442775,9.33990130797364,0.902247785917857,0.835872532759644,3.09057124419928,4.30791327460052,9.69476303180231,4.59174486234354,1.62974156601383,4.3410670013642,2.91826720667487,4.5553704879325,4.73082016041352,4.1902070957608,0.417950107656546,3.25838403273763,2.64743542525337,1.4087022031761,0.741266371058872,0.702305704959401,0.493568460254149,0.633654534338415,4.07029031965521,1.35992424723427,2.04317957282232,2.27137070976663,2.64440522944276,0.912464264130115,4.6417922680999,9.95924415811844,3.19959289124072,8.58258312448242,2.10382201199608,7.58198290832513,4.09840840876513,0.879417188043743,0.726206264943622,1.23744636966075,0.691868483796375,0.493568460254149,0,17.9055352412473,0.214446986179389,0,17.9128722801734,0.840822538314313,0.872538266518254,14.2772271090831,16.9078846040628,4.47347345519967,0.473144937760873,0,2.96068458517183,0,0,7.23069269029457,7.23069269029457,0,14.2772271090831
