"","speaker","docname_1","Segment_1","WPS_1","WC_1","Sixltr_1","Dic_1","x1_function_1","x2_pronoun_1","x3_ppron_1","x4_i_1","x5_we_1","x6_you_1","x7_shehe_1","x8_they_1","x9_ipron_1","x10_article_1","x11_prep_1","x12_auxverb_1","x13_adverb_1","x14_conj_1","x15_negate_1","x20_verb_1","x21_adj_1","x22_compare_1","x23_interrog_1","x24_number_1","x25_quant_1","x30_affect_1","x31_posemo_1","x32_negemo_1","x33_anx_1","x34_anger_1","x35_sad_1","x40_social_1","x41_family_1","x42_friend_1","x43_female_1","x44_male_1","x50_cogproc_1","x51_insight_1","x52_cause_1","x53_discrep_1","x54_tentat_1","x55_certain_1","x56_differ_1","x60_percept_1","x61_see_1","x62_hear_1","x63_feel_1","x70_bio_1","x71_body_1","x72_health_1","x73_sexual_1","x74_ingest_1","x80_drives_1","x81_affiliation_1","x82_achieve_1","x83_power_1","x84_reward_1","x85_risk_1","x90_focuspast_1","x91_focuspresent_1","x92_focusfuture_1","x100_relativ_1","x101_motion_1","x102_space_1","x103_time_1","x110_work_1","x111_leisure_1","x112_home_1","x113_money_1","x114_relig_1","x115_death_1","x120_informal_1","x121_swear_1","x122_netspeak_1","x123_assent_1","x124_nonflu_1","x125_filler_1","AllPunc_1","Period_1","Comma_1","Colon_1","SemiC_1","QMark_1","Exclam_1","Dash_1","Quote_1","Apostro_1","Parenth_1","OtherP_1"
"1","",NA,477.166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Speaker A",NA,496.40414507772,10.1880829015544,28.740932642487,11.0048445595855,255.430751295337,44.0597409326425,15.7012435233161,9.34189119170984,3.51932642487047,0.663575129533679,2.84116580310881,2.08419689119171,0.23300518134715,6.35958549222798,3.72142487046632,9.6390932642487,9.43663212435233,4.58204663212435,4.64313471502591,1.90230569948187,15.054792746114,4.17023316062176,2.91284974093264,2.07927461139896,1.7629792746114,1.62069948186528,4.91852331606218,3.60155440414508,1.31689119170984,0.121865284974093,0.0436787564766839,0.711839378238342,9.83722797927461,0.892383419689119,0.218704663212435,0.449352331606218,2.64427461139896,9.24673575129534,1.68484455958549,0.429766839378238,2.23349740932643,2.8139896373057,0.911554404145078,3.00227979274611,1.92419689119171,0.443704663212435,0.92720207253886,0.149611398963731,1.19720207253886,0.294093264248705,0.695051813471503,0,0.130414507772021,4.75948186528497,1.69033678756477,0.788471502590674,1.87481865284974,0.904507772020725,0.117124352331606,2.8560103626943,10.2925906735751,0.76080310880829,11.0895336787565,1.47471502590674,6.76968911917098,3.39036269430052,1.73326424870466,0.838523316062176,0.452642487046632,1.09313471502591,0.0537046632124352,0.0513730569948187,3.6340414507772,0,0,3.46204663212435,0.17199481865285,0,25.7968134715026,14.3533419689119,3.92629533678756,0.00616580310880829,0,2.51546632124352,0,0,4.96883419689119,4.96883419689119,0,25.7968134715026
"3","Speaker B",NA,456.187943262411,10.6312056737589,19.2659574468085,9.32904255319149,266.837340425532,51.506170212766,18.7387234042553,11.5841489361702,3.87712765957447,0.481595744680851,5.16904255319149,1.43478723404255,0.621382978723404,7.15436170212766,3.07510638297872,9.90010638297872,10.4063829787234,7.31468085106383,4.43148936170213,4.35159574468085,16.8521276595745,1.40127659574468,1.06074468085106,2.08914893617021,0.918936170212766,1.59074468085106,3.32404255319149,2.61946808510638,0.579042553191489,0.0756382978723404,0.177340425531915,0,10.5806382978723,0.386702127659574,0,0,1.80393617021277,12.1595744680851,3.79276595744681,0.887872340425532,1.30936170212766,2.58808510638298,1.05595744680851,3.61968085106383,1.11074468085106,0.363829787234043,0.30563829787234,0.233085106382979,1.32127659574468,0.286382978723404,1.14106382978723,0,0,4.14202127659574,1.05723404255319,0.66436170212766,1.39542553191489,0.644787234042553,0.406063829787234,3.11797872340426,12.7342553191489,1.05872340425532,8.75574468085106,1.77744680851064,5.27393617021277,1.85691489361702,0.934468085106383,0.12436170212766,0.0117021276595745,0,0,0,4.60021276595745,0,0,4.15691489361702,0.443297872340426,0,23.4154255319149,14.7248936170213,2.39255319148936,0,0,1.91670212765957,0,0,4.38170212765957,4.38170212765957,0,23.4154255319149
"4","Speaker C",NA,375.952380952381,8.71753246753247,23.8181818181818,7.13415584415584,255.497922077922,44.7936363636364,17.971038961039,12.2666233766234,7.71597402597403,0.157012987012987,1.58402597402597,2.36896103896104,0.440519480519481,5.70415584415584,2.77064935064935,7.38935064935065,8.66766233766234,4.55909090909091,7.05688311688312,4.0212987012987,14.9663636363636,2.0687012987013,1.13909090909091,1.4325974025974,0.796103896103896,1.34831168831169,5.99402597402597,5.32558441558442,0.63961038961039,0.0987012987012987,0.253376623376623,0.0975324675324675,8.30272727272727,0.273636363636364,0.156753246753247,0.488311688311688,2.28649350649351,9.75311688311688,2.29935064935065,0.811688311688312,2.49194805194805,1.79935064935065,1.42961038961039,3.06649350649351,1.87519480519481,0.0945454545454545,1.14012987012987,0.575584415584416,0.548181818181818,0.181688311688312,0.163506493506494,0.0564935064935065,0.103116883116883,3.28311688311688,0.528701298701299,0.648181818181818,0.914545454545455,1.35220779220779,0.212337662337662,3.04688311688312,10.7966233766234,1.49506493506493,7.1087012987013,1.19194805194805,3.10090909090909,2.8374025974026,0.256883116883117,0.162207792207792,0.399090909090909,0.133506493506494,0.0564935064935065,0,9.22376623376623,0.0245454545454545,0,8.97961038961039,0.11974025974026,0.0998701298701299,29.4293506493506,19.6558441558442,3.5138961038961,0.0541558441558442,0,0.591558441558442,0,0,5.61350649350649,5.61350649350649,0,29.4293506493506
