"","speaker","docname_1","Segment_1","WPS_1","WC_1","Sixltr_1","Dic_1","x1_function_1","x2_pronoun_1","x3_ppron_1","x4_i_1","x5_we_1","x6_you_1","x7_shehe_1","x8_they_1","x9_ipron_1","x10_article_1","x11_prep_1","x12_auxverb_1","x13_adverb_1","x14_conj_1","x15_negate_1","x20_verb_1","x21_adj_1","x22_compare_1","x23_interrog_1","x24_number_1","x25_quant_1","x30_affect_1","x31_posemo_1","x32_negemo_1","x33_anx_1","x34_anger_1","x35_sad_1","x40_social_1","x41_family_1","x42_friend_1","x43_female_1","x44_male_1","x50_cogproc_1","x51_insight_1","x52_cause_1","x53_discrep_1","x54_tentat_1","x55_certain_1","x56_differ_1","x60_percept_1","x61_see_1","x62_hear_1","x63_feel_1","x70_bio_1","x71_body_1","x72_health_1","x73_sexual_1","x74_ingest_1","x80_drives_1","x81_affiliation_1","x82_achieve_1","x83_power_1","x84_reward_1","x85_risk_1","x90_focuspast_1","x91_focuspresent_1","x92_focusfuture_1","x100_relativ_1","x101_motion_1","x102_space_1","x103_time_1","x110_work_1","x111_leisure_1","x112_home_1","x113_money_1","x114_relig_1","x115_death_1","x120_informal_1","x121_swear_1","x122_netspeak_1","x123_assent_1","x124_nonflu_1","x125_filler_1","AllPunc_1","Period_1","Comma_1","Colon_1","SemiC_1","QMark_1","Exclam_1","Dash_1","Quote_1","Apostro_1","Parenth_1","OtherP_1"
"1","",NA,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Speaker A",NA,96.9642857142857,6.29910714285714,8.64285714285714,10.63625,262.785357142857,44.9560714285714,17.4171428571429,11.5682142857143,3.80285714285714,0.0992857142857143,5.08392857142857,1.61517857142857,0.967321428571429,5.59428571428571,4.02017857142857,6.48785714285714,10.97375,6.45678571428571,2.24767857142857,2.89160714285714,16.9476785714286,4.31964285714286,1.72535714285714,0.837678571428571,2.46785714285714,2.48910714285714,4.15053571428571,2.17375,1.97678571428571,0,0.267321428571429,0.360178571428571,11.3948214285714,0.357142857142857,0.223214285714286,1.38607142857143,1.30535714285714,12.4276785714286,4.10982142857143,0.640714285714286,1.06482142857143,4.71071428571429,1.16071428571429,2.76017857142857,1.91785714285714,1.58303571428571,0.223214285714286,0.111607142857143,0.178571428571429,0.178571428571429,0,0,0,3.185,1.25321428571429,0.799642857142857,1.12107142857143,0.354464285714286,0.456428571428571,2.59285714285714,13.0666071428571,0.0714285714285714,11.80625,0.944107142857143,4.88035714285714,6.67071428571429,0.950357142857143,0.923571428571429,0,0,0.625,0.162321428571429,2.6475,0,0,2.20107142857143,0.446428571428571,0,25.19,14.9810714285714,1.99535714285714,0,0,4.01535714285714,0,0,4.19857142857143,4.19857142857143,0,25.19
"3","Speaker B",NA,101.259259259259,13.9935802469136,42.5703703703704,10.5095555555556,266.284592592593,47.3038518518519,14.6201481481481,9.39607407407407,3.83725925925926,0.687777777777778,2.21888888888889,1.95874074074074,0.694222222222222,5.2237037037037,4.91111111111111,10.9745925925926,9.80659259259259,4.58014814814815,5.37451851851852,2.34155555555556,16.7885925925926,5.04392592592593,3.96111111111111,2.12251851851852,2.79133333333333,1.78074074074074,3.95140740740741,3.03185185185185,0.837185185185185,0.0517777777777778,0.135037037037037,0.453925925925926,10.2023703703704,1.0357037037037,0.271481481481481,0.800148148148148,2.42585185185185,10.0312592592593,1.58118518518519,1.0662962962963,2.04911111111111,2.81237037037037,1.06888888888889,3.12407407407407,2.50688888888889,0.85,1.36696296296296,0.244,1.19059259259259,0.456518518518518,0.387703703703704,0,0.310740740740741,5.15059259259259,1.54955555555556,0.644074074074074,2.0957037037037,0.990814814814815,0.108,3.72540740740741,10.9707407407407,0.752296296296296,12.1780740740741,1.80066666666667,6.2482962962963,4.40807407407407,1.34585185185185,1.5942962962963,0.839333333333333,0.73237037037037,0.126814814814815,0.0906666666666667,1.14214814814815,0.0371111111111111,0,0.940740740740741,0.123259259259259,0.0305925925925926,20.1698518518519,8.57874074074074,5.33733333333333,0,0,1.89614814814815,0,0,4.28718518518519,4.28718518518519,0,20.1698518518519
