"","docname","Segment","WPS","WC","Sixltr","Dic","x1_function","x2_pronoun","x3_ppron","x4_i","x5_we","x6_you","x7_shehe","x8_they","x9_ipron","x10_article","x11_prep","x12_auxverb","x13_adverb","x14_conj","x15_negate","x20_verb","x21_adj","x22_compare","x23_interrog","x24_number","x25_quant","x30_affect","x31_posemo","x32_negemo","x33_anx","x34_anger","x35_sad","x40_social","x41_family","x42_friend","x43_female","x44_male","x50_cogproc","x51_insight","x52_cause","x53_discrep","x54_tentat","x55_certain","x56_differ","x60_percept","x61_see","x62_hear","x63_feel","x70_bio","x71_body","x72_health","x73_sexual","x74_ingest","x80_drives","x81_affiliation","x82_achieve","x83_power","x84_reward","x85_risk","x90_focuspast","x91_focuspresent","x92_focusfuture","x100_relativ","x101_motion","x102_space","x103_time","x110_work","x111_leisure","x112_home","x113_money","x114_relig","x115_death","x120_informal","x121_swear","x122_netspeak","x123_assent","x124_nonflu","x125_filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
"711","711",711,41,41,9.76,339.02,68.29,17.07,7.32,2.44,2.44,2.44,0,0,9.76,7.32,12.2,12.2,9.76,9.76,0,19.51,0,0,4.88,0,0,2.44,2.44,0,0,0,0,9.76,0,0,0,0,26.83,2.44,4.88,4.88,17.07,0,9.76,0,0,0,0,0,0,0,0,0,7.32,2.44,2.44,2.44,0,0,2.44,9.76,2.44,21.95,2.44,12.2,7.32,0,0,0,0,0,0,0,0,0,0,0,0,7.32,2.44,4.88,0,0,0,0,0,0,0,0,7.32
"712","712",712,13,13,0,338.46,53.85,15.38,15.38,7.69,0,7.69,0,0,0,0,7.69,7.69,15.38,15.38,0,15.38,0,0,0,0,0,7.69,7.69,0,0,0,0,15.38,0,0,0,0,30.77,0,0,15.38,7.69,15.38,7.69,0,0,0,0,7.69,0,0,0,0,7.69,7.69,0,0,0,0,0,15.38,0,7.69,0,0,7.69,0,0,0,0,0,0,7.69,0,0,0,0,7.69,30.77,7.69,15.38,0,0,0,0,0,7.69,7.69,0,30.77
"713","713",713,8,8,0,312.5,75,37.5,25,0,0,25,0,0,12.5,0,12.5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,12.5,0,0,12.5,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,12.5
"714","714",714,7,14,14.29,278.57,50,21.43,21.43,21.43,0,0,0,0,0,0,0,14.29,7.14,7.14,7.14,21.43,0,0,0,0,0,7.14,7.14,0,0,0,0,0,0,0,0,0,21.43,14.29,0,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,7.14,0,7.14,7.14,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,7.14,0,0,0,0,0,7.14,7.14,0,28.57
"715","715",715,61,61,19.67,291.8,63.93,18.03,8.2,3.28,0,4.92,0,0,9.84,4.92,16.39,9.84,8.2,6.56,1.64,16.39,3.28,1.64,0,3.28,1.64,3.28,1.64,0,0,0,0,8.2,0,0,0,0,18.03,1.64,0,6.56,11.48,0,4.92,1.64,0,1.64,0,0,0,0,0,0,3.28,1.64,0,1.64,0,0,6.56,6.56,0,14.75,1.64,6.56,6.56,1.64,0,0,0,0,0,0,0,0,0,0,0,3.28,1.64,1.64,0,0,0,0,0,0,0,0,3.28
"716","716",716,2,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50,50,0,0,0,0,0,0,0,0,0,50
"717","717",717,8,8,0,337.5,62.5,25,12.5,12.5,0,0,0,0,12.5,0,0,25,12.5,12.5,0,37.5,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,25,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,12.5
"718","718",718,21,21,9.52,309.52,57.14,23.81,19.05,9.52,0,9.52,0,0,4.76,0,4.76,14.29,4.76,9.52,0,19.05,0,0,0,4.76,0,4.76,4.76,0,0,0,0,14.29,0,0,0,0,19.05,0,0,14.29,4.76,4.76,4.76,4.76,0,4.76,0,0,0,0,0,0,0,0,0,0,0,0,4.76,14.29,0,9.52,0,0,9.52,0,0,0,0,0,0,4.76,0,0,4.76,0,0,14.29,0,9.52,0,0,4.76,0,0,0,0,0,14.29
"719","719",719,2,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50,50,0,0,0,0,0,0,0,0,0,50
"720","720",720,7.25,29,10.34,251.72,41.38,20.69,17.24,10.34,0,6.9,0,0,3.45,0,6.9,10.34,3.45,6.9,0,17.24,0,0,0,3.45,0,6.9,6.9,0,0,0,0,6.9,0,0,0,0,13.79,3.45,0,10.34,3.45,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,10.34,0,6.9,0,3.45,3.45,0,0,0,0,0,0,10.34,0,0,10.34,0,0,27.59,10.34,10.34,0,0,3.45,0,0,3.45,3.45,0,27.59
"721","721",721,3,3,0,300,33.33,33.33,33.33,0,0,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,33.33,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,33.33
"722","722",722,3,3,0,100,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,33.33
"723","723",723,3,3,0,166.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,33.33
"724","724",724,4,4,0,275,50,25,25,0,0,25,0,0,0,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,25
"725","725",725,4,4,25,300,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,25
"726","726",726,3.5,14,21.43,207.14,14.29,7.14,7.14,0,0,7.14,0,0,0,7.14,0,0,0,0,0,7.14,0,0,0,0,0,14.29,14.29,0,0,0,0,14.29,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,28.57,0,0,28.57,0,14.29,0,0,0,0,7.14,0,0,7.14,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,28.57
"727","727",727,7,21,33.33,280.95,38.1,9.52,9.52,0,0,9.52,0,0,0,9.52,4.76,9.52,9.52,4.76,0,9.52,19.05,14.29,4.76,0,0,4.76,4.76,0,0,0,0,9.52,0,0,0,0,14.29,0,4.76,0,4.76,0,4.76,14.29,0,0,9.52,0,0,0,0,0,4.76,0,0,4.76,0,0,4.76,4.76,0,19.05,0,14.29,4.76,0,0,0,0,0,0,0,0,0,0,0,0,19.05,4.76,0,0,0,9.52,0,0,4.76,4.76,0,19.05
"728","728",728,2,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50,50,0,0,0,0,0,0,0,0,0,50
"729","729",729,2.5,5,20,180,40,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,40,0,0,0,0,0,40
"730","730",730,3,3,0,300,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,33.33,0,0,33.33,0,0,0,0,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,0,0,0,0,0,0,0,33.33
"731","731",731,7,7,0,300,71.43,14.29,14.29,0,0,14.29,0,0,0,0,14.29,14.29,28.57,14.29,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,14.29,0,0,0,0,0,14.29
